Subject,Gender,Age,Race,Eth.Ori,Education,Spite,SSES,SRPS,SJS,Vignettes,Content,Justification,Realism,Justification_overall_timing,agreement_overall_timing,sexual_timing_justification,non_sexual_timing_justification,agreement_sexual_timing,agreement_non_sexual_timing
19,2,34,1,3,4,30,29,3.685314685,5,1,Sex,5,4,18.7081,1.545,21.9036,15.5126,1.5982,1.4918
19,2,34,1,3,4,30,29,3.685314685,5,2,Sex,2,3,18.7081,1.545,21.9036,15.5126,1.5982,1.4918
19,2,34,1,3,4,30,29,3.685314685,5,3,No_Sex,1,4,18.7081,1.545,21.9036,15.5126,1.5982,1.4918
19,2,34,1,3,4,30,29,3.685314685,5,4,Sex,1,3,18.7081,1.545,21.9036,15.5126,1.5982,1.4918
19,2,34,1,3,4,30,29,3.685314685,5,5,No_Sex,1,3,18.7081,1.545,21.9036,15.5126,1.5982,1.4918
19,2,34,1,3,4,30,29,3.685314685,5,6,No_Sex,4,3,18.7081,1.545,21.9036,15.5126,1.5982,1.4918
19,2,34,1,3,4,30,29,3.685314685,5,7,Sex,1,4,18.7081,1.545,21.9036,15.5126,1.5982,1.4918
19,2,34,1,3,4,30,29,3.685314685,5,8,No_Sex,1,4,18.7081,1.545,21.9036,15.5126,1.5982,1.4918
19,2,34,1,3,4,30,29,3.685314685,5,9,No_Sex,3,3,18.7081,1.545,21.9036,15.5126,1.5982,1.4918
19,2,34,1,3,4,30,29,3.685314685,5,10,Sex,2,3,18.7081,1.545,21.9036,15.5126,1.5982,1.4918
20,1,31,1,3,1,37,34,2.751748252,10,1,Sex,2,4,7.3443,2.4193,7.3232,7.3654,2.313,2.5256
20,1,31,1,3,1,37,34,2.751748252,10,2,Sex,1,2,7.3443,2.4193,7.3232,7.3654,2.313,2.5256
20,1,31,1,3,1,37,34,2.751748252,10,3,No_Sex,1,4,7.3443,2.4193,7.3232,7.3654,2.313,2.5256
20,1,31,1,3,1,37,34,2.751748252,10,4,Sex,1,4,7.3443,2.4193,7.3232,7.3654,2.313,2.5256
20,1,31,1,3,1,37,34,2.751748252,10,5,No_Sex,1,4,7.3443,2.4193,7.3232,7.3654,2.313,2.5256
20,1,31,1,3,1,37,34,2.751748252,10,6,No_Sex,2,4,7.3443,2.4193,7.3232,7.3654,2.313,2.5256
20,1,31,1,3,1,37,34,2.751748252,10,7,Sex,1,2,7.3443,2.4193,7.3232,7.3654,2.313,2.5256
20,1,31,1,3,1,37,34,2.751748252,10,8,No_Sex,1,4,7.3443,2.4193,7.3232,7.3654,2.313,2.5256
20,1,31,1,3,1,37,34,2.751748252,10,9,No_Sex,4,4,7.3443,2.4193,7.3232,7.3654,2.313,2.5256
